Term_EN,POS,Definition_EN,Example_from_article_EN,French_FR,Notes_FR,Domain,Source
Special Purpose Vehicle,noun,Separate legal entity created for a narrowly defined financial objective to isolate risk.,An SPV is a distinct legal entity created by a founding organization for a narrowly defined financial objective.,véhicule ad hoc (SPV),Also seen as « véhicule à finalité spécifique ». Keep acronym SPV.,finance/law,user article
Special Purpose Entity,noun,Synonym for Special Purpose Vehicle.,Special Purpose Vehicle and Special Purpose Entity are synonymous.,entité ad hoc (SPE),Synonyme de SPV. Souvent « entité à finalité spécifique ».,finance/law,user article
bankruptcy-remote,adj,Structured to minimize the risk that a parent's bankruptcy affects the SPV and vice versa.,Structured to minimize the risk of parent's bankruptcy.,à l’abri du risque de faillite,Aussi « structure faiblement exposée à la faillite ».,finance/law,user article
ring-fencing,noun,Separating assets and liabilities to isolate financial risk.,Off-balance-sheet legal structures to isolate financial risk by ring-fencing assets and liabilities.,cantonnement des actifs et passifs,Terme de structuration financière.,finance,user article
off-balance-sheet,adj,Not consolidated into the sponsor's balance sheet under certain accounting tests.,From their origins in the 1980s as off-balance-sheet legal structures.,hors bilan,"Sous IFRS/US GAAP, soumis à tests de consolidation.",accounting,user article
pass-through entity,noun,Entity whose income is taxed at investor level rather than at entity level.,SPVs are typically structured as pass-through entities.,entité translucide / transparente fiscalement,Traduction dépend du pays; « transparence fiscale ».,tax,user article
orphan structure,noun,Ownership held by an independent third party to enhance separateness.,"Ownership can be held by an independent third party (""orphan"" structure).",structure orpheline,Souvent via trustee indépendant.,finance/law,user article
true sale,noun,Asset transfer designed to be bankruptcy‑resistant to the originator’s insolvency.,"Assets are transferred via a ""true sale"".",cession « true sale » / vente véritable,Garder l’anglais entre guillemets courants.,securitization,user article
cash flow waterfall,noun,"Priority of payments across fees, interest, principal, and residuals.","Define the cash flow waterfall, outlining the priority of payments.",cascade de paiements,Aussi « priorité des paiements ».,finance,user article
non-petition clause,noun,Contract term preventing creditors from initiating insolvency proceedings against the SPV.,Embedding non-petition language in all contracts.,clause de non‑pétition,Indispensable pour l’isolément de l’SPV.,law,user article
limited recourse clause,noun,Contract term limiting creditor claims to the SPV’s assets.,Embedding limited-recourse language in all contracts.,clause de recours limité,Avec non‑pétition dans la documentation.,law,user article
independent director,noun,"Director unaffiliated with the sponsor, often with veto on voluntary insolvency.",At least one independent director empowered to block any voluntary insolvency filing.,administrateur indépendant,Ou « gérant indépendant » selon forme juridique.,governance,user article
beneficial ownership,noun,The natural person(s) who ultimately owns or controls an entity.,Beneficial ownership updates.,bénéficiaire effectif,Obligations de déclaration (KYC/AML).,compliance,user article
KYC,abbr,Know Your Customer checks to verify investor identity.,KYC/AML checks.,KYC (connaissance du client),Garder l’acronyme; ajouter expansion FR si utile.,compliance,user article
AML,abbr,Anti-Money Laundering framework.,KYC/AML checks.,LCB‑FT (lutte contre le blanchiment de capitaux et le financement du terrorisme),Dans l’UE on emploie LCB‑FT.,compliance,user article
accredited investor,noun,Investor meeting regulatory thresholds to participate in private offerings.,Offerings are often restricted to accredited investors.,investisseur qualifié / accrédité,Terme US; en UE: investisseur professionnel.,securities law,user article
blind-pool fund,noun,Fund that raises capital before specifying investments.,Faster and easier than raising a traditional blind-pool fund.,fonds « blind pool »,Garder l’anglais; expliquer au besoin.,private markets,user article
follow-on investment,noun,Additional investment made in an existing portfolio company.,Exercise pro-rata rights to make follow-on investments.,réinvestissement / investissement de suivi,Choisir selon contexte.,venture capital,user article
pro-rata rights,noun,Investor right to maintain ownership percentage in future rounds.,Exercise pro-rata rights.,droits pro rata,Usage courant en VC FR.,venture capital,user article
continuation fund,noun,Vehicle to hold a successful asset beyond the original fund’s term.,Used as continuation funds to hold onto a winning asset beyond a fund's lifecycle.,fonds de continuation,,private equity,user article
cap table,noun,Record of a company’s ownership and securities.,Adding a single line item to their capitalization table.,tableau de capitalisation,Abréviation possible « cap table ».,corporate,user article
syndicate lead,noun,Organizer who sources the deal and manages the SPV for a group of angels.,Syndicate leads.,chef de file du syndicat (d’anges),Aussi « leader du syndicat ».,venture capital,user article
NAV,abbr,Net Asset Value.,"Periodic updates on asset performance, NAV, and performance metrics.",VL (valeur liquidative),Aussi « valeur nette d’inventaire ».,accounting,user article
IRR,abbr,Internal Rate of Return.,"Performance metrics (IRR, MOIC).",TRI (taux de rendement interne),,finance,user article
MOIC,abbr,Multiple on Invested Capital.,"Performance metrics (IRR, MOIC).",MOIC (multiple du capital investi),Conserver l’acronyme.,finance,user article
Limited Liability Company,noun,US entity type with limited liability and flexible pass-through taxation.,LLC is popular in the US.,société à responsabilité limitée (LLC),Ne pas traduire « LLC » dans les noms officiels.,corporate law,user article
Limited Partnership,noun,Partnership with general and limited partners; common for funds/SPVs.,Limited Partnership (LP).,société en commandite (LP),Commandité/commanditaire.,corporate law,user article
Corporation,noun,Company form with separate legal personality and shareholder liability limited to capital.,Can be established as a Corporation.,société par actions (corporation),Ex.: Delaware C‑Corp.,corporate law,user article
Trust,noun,Legal arrangement where a trustee holds assets for beneficiaries.,Trusts used for securitizations and orphan structures.,trust / fiducie (selon juridiction),« Fiducie » en droit civil; « trust » en common law.,law,user article
Series LLC,noun,US entity with internally segregated series/portfolios.,Series / Segregated Structures (Series LLC).,Series LLC (société à séries),Conserver l’anglais avec explication.,corporate law,user article
Segregated Portfolio Company,noun,Offshore company with ring‑fenced portfolios.,Cayman Islands (SPC).,société à portefeuilles séparés (SPC),"Cayman, ring‑fencing interne.",corporate law,user article
Private Limited Company (Ltd),noun,UK corporate form with limited liability.,Private Limited Company (Ltd) is frequent.,Private Limited Company (Ltd),Conserver l’intitulé officiel anglais.,UK corporate,user article
Private Fund Limited Partnership (PFLP),noun,UK partnership tailored for funds; tax‑transparent.,PFLP is a common tax-transparent choice.,Private Fund Limited Partnership (PFLP),Ne pas traduire; ajouter explication au besoin.,UK funds,user article
Bare Trust,noun,UK nominee trust where trustee holds assets for beneficiaries.,Bare Trust is tax‑transparent.,bare trust (fiducie « nue »),Terme de common law; garder anglais.,UK trust,user article
Société par Actions Simplifiée (SAS),noun,French flexible corporate form with limited liability.,SAS is increasingly popular.,Société par Actions Simplifiée (SAS),Forme française; ne pas traduire.,FR corporate,user article
Société Civile (SC),noun,"French partnership, tax‑translucent; often used for real estate.",Société Civile (SC).,Société Civile (SC),Responsabilité illimitée des associés.,FR corporate,user article
Organisme de Titrisation (OT),noun,French securitization vehicle; bankruptcy‑remote by statute.,"Organisme de Titrisation (OT), fund form FCT.",Organisme de Titrisation (OT),Inclut FCT (fonds commun de titrisation).,FR securitization,user article
Gesellschaft mit beschränkter Haftung (GmbH),noun,German limited liability company.,GmbH is common for a project-specific SPV.,Gesellschaft mit beschränkter Haftung (GmbH),Garder l’intitulé allemand.,DE corporate,user article
GmbH & Co. KG,noun,German limited partnership with a GmbH as general partner.,GmbH & Co. KG achieves limited liability with pass-through taxation.,GmbH & Co. KG,Structure hybride allemande.,DE corporate,user article
Société à responsabilité limitée (SARL) – Luxembourg,noun,Luxembourg limited liability company used for SPVs/holdings.,SARL is the most common form used for investment SPVs.,Société à responsabilité limitée (SARL),Contexte luxembourgeois.,LU corporate,user article
Société en commandite spéciale (SCSp),noun,"Luxembourg special limited partnership, tax‑transparent, no legal personality.",SCSp is highly flexible and fully tax-transparent.,Société en commandite spéciale (SCSp),Forme phare pour SPV/FIA.,LU funds,user article
Société en commandite simple (SCS),noun,Luxembourg simple limited partnership; tax‑transparent.,SCS is a tax-transparent limited partnership.,Société en commandite simple (SCS),,LU funds,user article
Société en commandite par actions (SCA),noun,Luxembourg partnership limited by shares.,SCA combines corporate and partnership features.,Société en commandite par actions (SCA),,LU corporate,user article
Sociedad Anónima (S.A.),noun,Spanish corporation often used for large securitizations.,S.A. is used for large or complex securitization transactions.,Sociedad Anónima (S.A.),Garder l’intitulé espagnol.,ES corporate,user article
Sociedad de Responsabilidad Limitada (S.L.),noun,Spanish limited liability company.,S.L. for smaller transactions.,Sociedad de Responsabilidad Limitada (S.L.),,ES corporate,user article
securitization,noun,Transforming illiquid assets into tradable securities via an SPV.,Securitization relies on SPVs to transform illiquid assets into tradable securities.,titrisation,,securitization,user article
asset-backed securities,noun,Securities backed by pools of assets such as loans or receivables.,"The SPV then issues tradable, asset-backed securities to investors.",titres adossés à des actifs (ABS),Conserver l’acronyme ABS.,securitization,user article
leveraged buyout,noun,"Acquisition financed significantly with debt, often using an SPV.",Frequently used in LBOs to house acquisition debt.,rachat avec effet de levier (LBO),Conserver l’acronyme LBO.,corporate finance,user article
SPAC,abbr,Special Purpose Acquisition Company used to take a firm public via merger.,SPACs raise capital through an IPO to acquire a private company.,SPAC,"Peut se traduire par « société d’acquisition à vocation spécifique », usage rare.",capital markets,user article
Up‑C,noun,IPO structure where a C‑Corp holds partnership interests while public investors hold C‑Corp shares.,An Up‑C for IPOs.,structure Up‑C,Conserver le terme anglais.,capital markets,user article
Public‑Private Partnership,noun,Collaboration between public and private sectors for large projects using an SPV.,SPVs are integral to public‑private partnerships (PPPs).,partenariat public‑privé (PPP),,infrastructure,user article
carried interest,noun,Share of profits paid to the manager above the return of capital and hurdle.,Allows the organizer to earn carried interest.,carried interest,Usage anglais courant en FR.,private equity,user article
management fee,noun,Periodic fee charged by the manager for administration.,May have no annual management fee.,frais de gestion,,private markets,user article
waterfall error,noun,Misallocation of funds during distributions.,Waterfall & payment errors.,erreur de cascade de paiements,,operations,user article
AIFMD,abbr,EU Directive on Alternative Investment Fund Managers.,Stricter financial regulations like AIFMD.,directive AIFM (2011/61/UE),Terme officiel UE.,regulation,user article
BEPS,abbr,OECD action against Base Erosion and Profit Shifting.,BEPS initiatives.,érosion de la base d’imposition et transfert de bénéfices (BEPS),Conserver l’acronyme BEPS.,tax,user article
FATCA,abbr,US Foreign Account Tax Compliance Act.,FATCA/CRS reporting.,FATCA (Foreign Account Tax Compliance Act),Conserver l’acronyme.,tax/compliance,user article
CRS,abbr,OECD Common Reporting Standard for tax reporting.,FATCA/CRS reporting.,norme commune de déclaration (CRS),Conserver l’acronyme.,tax/compliance,user article
SEC,abbr,US Securities and Exchange Commission.,Regulation is primarily overseen by the SEC.,SEC (Securities and Exchange Commission),Conserver l’acronyme.,securities law,user article
registered agent,noun,Service designated to receive legal documents on behalf of the entity.,Appoint a Registered Agent.,agent enregistré (registered agent),Terme US; garder anglais entre parenthèses.,corporate compliance,user article
economic substance,noun,Sufficient local activity to meet tax rules and avoid being a mere shell.,Ensure economic substance to comply with BEPS 2.0.,substance économique,,tax,user article
sponsor,noun,Organization that creates the SPV to isolate risk.,Sponsor (or parent company) creates the SPV.,sponsor / initiateur,Choisir selon contexte (banque vs VC).,finance,user article
General Partner (GP),noun,Manager that directs the SPV or fund and may earn carry and fees.,Manager (GP or Syndicate Lead).,GP (General Partner) / gestionnaire,Dans une commandite: associé commandité.,funds,user article
Limited Partner (LP),noun,Investor providing capital with limited liability and limited control.,Investors (or Limited Partners).,LP (Limited Partner) / investisseur commanditaire,,funds,user article
trustee,noun,Independent party holding assets or acting for investors.,Ownership can be held by an independent third party (trustee).,fiduciaire (trustee),Traduction dépend du droit applicable.,trusts,user article
separateness covenants,noun,Contractual obligations to maintain operational separation from sponsor.,Separateness covenants require separate bank accounts and books.,engagements de séparation (separateness covenants),Conserver l’anglais entre parenthèses.,law/operations,user article
implicit support,noun,Unstated guarantees by sponsor that undermine SPV independence.,Implicit sponsor support can undermine independence.,soutien implicite du sponsor,,risk,user article
zombie entity,noun,"Entity that persists without purpose, accruing costs and taxes.","Forgotten exit plan can create a ""zombie"" entity.",entité « zombie »,Image; garder guillemets.,operations,user article
tokenization,noun,Representing securities as digital tokens on a blockchain.,Representing SPV ownership interests as digital tokens.,tokenisation,Orthographe FR sans « z ».,fintech,user article
DAO,abbr,Decentralized Autonomous Organization.,DAOs as investment vehicles.,DAO (organisation autonome décentralisée),Conserver l’acronyme.,web3,user article
ESG,abbr,"Environmental, Social, and Governance criteria.",ESG and impact-driven SPVs.,"ESG (critères environnementaux, sociaux et de gouvernance)",Conserver l’acronyme.,sustainability,user article
green bond,noun,Bond to finance environmentally beneficial projects.,Creating Green Bonds by securitizing assets like solar leases.,obligation verte,,sustainable finance,user article
social impact bond,noun,Outcome-based financing instrument for social programs.,Social Impact Bonds that fund social programs with returns tied to outcomes.,obligation à impact social,,sustainable finance,user article
AngelList,proper noun,US platform for venture and angel investing with standardized SPVs.,AngelList is a US-based platform optimized for venture and angel investing.,AngelList,Marque; ne pas traduire.,platform,user article
Carta,proper noun,End-to-end fund administration service supporting SPVs and funds.,Carta offers comprehensive fund administration.,Carta,Marque; ne pas traduire.,platform,user article
Roundtable,proper noun,European platform specializing in cross-border angel investing and SPVs.,Roundtable makes it easy to launch and manage SPVs.,Roundtable,Marque; ne pas traduire.,platform,user article
bunch,proper noun,Germany-based private markets platform for professional managers.,bunch is an all-in-one private markets platform.,bunch,Marque; respecter la casse.,platform,user article
Allocations,proper noun,US platform focused on speed for launching SPVs.,Allocations markets itself on speed and simplicity.,Allocations,Marque; ne pas traduire.,platform,user article
Sydecar,proper noun,US low-cost automated SPV platform.,"Sydecar is focused on a low-cost, automated solution.",Sydecar,Marque; ne pas traduire.,platform,user article
Flow (Apex),proper noun,Institutional-grade platform now part of Apex Group.,Flow is an institutional-grade platform primarily focused on the U.S. market.,Flow (Apex),Marque; ne pas traduire.,platform,user article
Odin,proper noun,UK platform serving angel syndicates in Europe.,Odin is a UK-based platform for angel syndicates.,Odin,Marque; ne pas traduire.,platform,user article
Securitize,proper noun,Platform focused on tokenized securities and secondary trading.,Securitize focuses on asset tokenization.,Securitize,Marque; ne pas traduire.,platform,user article
